id,id_genre
tm30205,0
tm30205,9
ts22456,2
ts22456,7
tm90305,16
tm90305,5
tm35112,0
tm35112,5
tm35112,13
tm133732,16
tm133732,3
tm133732,5
tm133732,0
tm133732,8
tm133732,6
ts27541,4
tm138894,14
tm138894,0
tm155309,13
tm155309,5
tm137342,5
tm137342,16
tm137342,17
tm137342,0
ts31820,12
ts31820,5
tm88027,2
tm88027,13
ts19036,2
ts19036,14
ts19036,7
ts19036,8
ts19036,1
ts23752,2
ts23752,5
ts26091,3
ts26091,4
ts26091,5
tm109300,10
tm109300,0
tm109300,14
tm109300,6
ts38488,5
ts38488,13
tm151176,16
tm151176,0
tm151176,14
tm151176,6
ts30311,2
ts30311,7
ts30311,13
ts30311,5
ts30311,11
ts30311,15
tm44491,2
tm44491,8
tm44491,1
tm44491,0
tm44491,5
tm44491,7
tm44491,13
ts22267,2
ts22267,3
tm149432,5
tm149432,9
tm149432,15
tm27268,2
tm27268,7
tm27268,8
tm27268,1
tm178788,5
tm178788,0
tm178788,13
ts22005,1
ts22005,5
ts22005,7
ts22005,0
ts22005,2
ts32186,0
ts32186,7
ts32186,1
ts32186,2
ts32186,8
ts32186,14
ts32186,5
ts32186,16
tm54010,4
ts22318,14
ts22318,0
ts22318,2
ts22318,7
ts22318,8
ts22318,1
ts22318,16
ts22318,6
tm40009,5
tm40009,9
tm40009,16
tm40009,3
ts21464,5
ts21464,2
ts21464,13
ts21464,7
tm79939,2
tm79939,5
tm79939,13
tm109495,18
tm109495,1
tm109495,5
tm109495,7
ts52881,5
ts52881,2
ts52881,1
ts52881,11
ts52881,13
tm97428,2
tm97428,13
tm97428,6
tm115660,16
tm115660,5
tm115660,3
tm132647,16
tm132647,0
tm132647,14
tm31857,2
tm31857,16
tm31857,3
tm31857,0
tm31857,7
tm31857,1
tm142564,5
tm142564,2
tm40148,5
tm40148,3
tm40148,15
tm94422,0
tm94422,14
tm94422,10
tm94422,16
tm94422,6
tm96208,0
tm96208,10
tm96208,14
tm96208,6
tm96208,5
tm96208,8
tm96208,16
tm47321,5
tm47321,13
tm185635,0
tm185635,18
tm185635,13
tm185635,16
ts1413,5
ts1413,13
ts24028,2
ts24028,6
ts21740,1
ts21740,2
ts21740,5
ts21740,16
ts21740,14
ts21740,8
